2025-12-12 14:10:20,927 - app.database - INFO - Database scheme is not sqlite, falling back to SQLite database: /root/web-dl-manager/webdl-manager.db
INFO:app.database:Database scheme is not sqlite, falling back to SQLite database: /root/web-dl-manager/webdl-manager.db
2025-12-12 14:10:20,936 - app.database - INFO - Table 'users' checked/created.
INFO:app.database:Table 'users' checked/created.
2025-12-12 14:10:20,939 - app.database - INFO - Table 'config' checked/created.
INFO:app.database:Table 'config' checked/created.
2025-12-12 14:10:20,942 - app.database - INFO - Table 'logs' checked/created.
INFO:app.database:Table 'logs' checked/created.
INFO:__main__:Starting services...
INFO:__main__:Page service started on http://0.0.0.0:5492
2025-12-12 14:10:21,384 - uvicorn.error - INFO - Started server process [11384]
2025-12-12 14:10:21,387 - uvicorn.error - INFO - Started server process [11384]
2025-12-12 14:10:21,384 - uvicorn.error - INFO - Started server process [11384]
2025-12-12 14:10:21,387 - uvicorn.error - INFO - Started server process [11384]
2025-12-12 14:10:21,393 - uvicorn.error - INFO - Waiting for application startup.
2025-12-12 14:10:21,395 - uvicorn.error - INFO - Waiting for application startup.
2025-12-12 14:10:21,393 - uvicorn.error - INFO - Waiting for application startup.
2025-12-12 14:10:21,395 - uvicorn.error - INFO - Waiting for application startup.
2025-12-12 14:10:21,401 - uvicorn.error - INFO - Application startup complete.
2025-12-12 14:10:21,401 - uvicorn.error - INFO - Application startup complete.
2025-12-12 14:10:21,412 - uvicorn.error - ERROR - [Errno 98] error while attempting to bind on address ('0.0.0.0', 5492): address already in use
2025-12-12 14:10:21,412 - uvicorn.error - ERROR - [Errno 98] error while attempting to bind on address ('0.0.0.0', 5492): address already in use
2025-12-12 14:10:21,422 - uvicorn.error - INFO - Waiting for application shutdown.
2025-12-12 14:10:21,422 - uvicorn.error - INFO - Waiting for application shutdown.
2025-12-12 14:10:21,423 - app.database - INFO - Table 'users' checked/created.
2025-12-12 14:10:21,424 - uvicorn.error - INFO - Application shutdown complete.
2025-12-12 14:10:21,423 - app.database - INFO - Table 'users' checked/created.
2025-12-12 14:10:21,424 - uvicorn.error - INFO - Application shutdown complete.
2025-12-12 14:10:21,423 - app.database - INFO - Table 'users' checked/created.
2025-12-12 14:10:21,450 - app.database - INFO - Table 'config' checked/created.
2025-12-12 14:10:21,450 - app.database - INFO - Table 'config' checked/created.
2025-12-12 14:10:21,450 - app.database - INFO - Table 'config' checked/created.
2025-12-12 14:10:21,456 - app.database - INFO - Table 'logs' checked/created.
2025-12-12 14:10:21,456 - app.database - INFO - Table 'logs' checked/created.
2025-12-12 14:10:21,456 - app.database - INFO - Table 'logs' checked/created.
2025-12-12 14:10:21,460 - root - DEBUG - MySQL logging configured with DEB2025-12-12 14:10:22,246 - python_multipart.multipart - DEBUG - Calling on_field_start with no data
2025-12-12 14:10:22,251 - python_multipart.multipart - DEBUG - Calling on_field_name with data[0:8]
2025-12-12 14:10:22,257 - python_multipart.multipart - DEBUG - Calling on_field_data with data[9:14]
2025-12-12 14:10:22,262 - python_multipart.multipart - DEBUG - Calling on_field_end with no data
2025-12-12 14:10:22,266 - python_multipart.multipart - DEBUG - Calling on_field_start with no data
2025-12-12 14:10:22,272 - python_multipart.multipart - DEBUG - Calling on_field_name with data[15:23]
2025-12-12 14:10:22,279 - python_multipart.multipart - DEBUG - Calling on_field_data with data[24:31]
2025-12-12 14:10:22,284 - python_multipart.multipart - DEBUG - Calling on_field_end with no data
2025-12-12 14:10:22,291 - python_multipart.multipart - DEBUG - Calling on_end with no data
2025-12-12 14:10:22,296 - __main__ - INFO - 登录尝试: username=admin
2025-12-12 14:10:22,314 - __main__ - INFO - 用户查询结果: <app.database.User object at 0x77234474d0>
2025-12-12 14:10:22,320 - __main__ - INFO - 密码验证结果: True
2025-12-12 14:10:22,325 - __main__ - INFO - Session设置: user=admin
